t,mox
[s],[g/s]
2.38,3.192642
2.385,3.203198
2.39,3.171531
2.395,3.150419
2.4,3.157456
2.405,3.171531
2.41,3.189124
2.415,3.192642
2.42,3.185605
2.425,3.160975
2.43,3.175049
2.435,3.189124
2.44,3.178568
2.445,3.192642
2.45,3.189124
2.455,3.175049
2.46,3.160975
2.465,3.1469
2.47,3.168012
2.475,3.178568
2.48,3.178568
2.485,3.182087
2.49,3.192642
2.495,3.185605
2.5,3.175049
2.505,3.178568
2.51,3.185605
2.515,3.196161
2.52,3.196161
2.525,3.189124
2.53,3.153938
2.535,3.168012
2.54,3.164493
2.545,3.175049
2.55,3.185605
2.555,3.175049
2.56,3.153938
2.565,3.168012
2.57,3.196161
2.575,3.192642
2.58,3.153938
2.585,3.175049
2.59,3.178568
2.595,3.189124
2.6,3.189124
2.605,3.160975
2.61,3.150419
2.615,3.178568
2.62,3.192642
2.625,3.203198
2.63,3.164493
2.635,3.175049
2.64,3.192642
2.645,3.182087
2.65,3.1469
2.655,3.160975
2.66,3.196161
2.665,3.196161
2.67,3.178568
2.675,3.153938
2.68,3.171531
2.685,3.189124
2.69,3.182087
2.695,3.164493
2.7,3.160975
2.705,3.171531
2.71,3.189124
2.715,3.175049
2.72,3.139863
2.725,3.178568
2.73,3.164493
2.735,3.175049
2.74,3.171531
2.745,3.175049
2.75,3.178568
2.755,3.175049
2.76,3.153938
2.765,3.153938
2.77,3.157456
2.775,3.185605
2.78,3.150419
2.785,3.182087
2.79,3.182087
2.795,3.1469
2.8,3.175049
2.805,3.182087
2.81,3.168012
2.815,3.175049
2.82,3.178568
2.825,3.153938
2.83,3.19968
2.835,3.164493
2.84,3.153938
2.845,3.175049
2.85,3.189124
2.855,3.150419
2.86,3.178568
2.865,3.189124
2.87,3.178568
2.875,3.192642
2.88,3.203198
2.885,3.153938
2.89,3.171531
2.895,3.178568
2.9,3.157456
2.905,3.1469
2.91,3.196161
2.915,3.164493
2.92,3.182087
2.925,3.196161
2.93,3.178568
2.935,3.153938
2.94,3.185605
2.945,3.182087
2.95,3.153938
2.955,3.182087
2.96,3.189124
2.965,3.182087
2.97,3.160975
2.975,3.178568
2.98,3.192642
2.985,3.182087
2.99,3.157456
2.995,3.168012
3,3.178568
3.005,3.192642
3.01,3.189124
3.015,3.164493
3.02,3.157456
3.025,3.182087
3.03,3.185605
3.035,3.1469
3.04,3.175049
3.045,3.189124
3.05,3.1469
3.055,3.185605
3.06,3.189124
3.065,3.160975
3.07,3.182087
3.075,3.185605
3.08,3.143382
3.085,3.168012
3.09,3.189124
3.095,3.1469
3.1,3.206717
3.105,3.178568
3.11,3.182087
3.115,3.192642
3.12,3.189124
3.125,3.160975
3.13,3.164493
3.135,3.168012
3.14,3.171531
3.145,3.153938
3.15,3.185605
3.155,3.185605
3.16,3.157456
3.165,3.189124
3.17,3.182087
3.175,3.164493
3.18,3.153938
3.185,3.189124
3.19,3.164493
3.195,3.171531
3.2,3.196161
3.205,3.175049
3.21,3.160975
3.215,3.189124
3.22,3.175049
3.225,3.164493
3.23,3.192642
3.235,3.178568
3.24,3.150419
3.245,3.185605
3.25,3.182087
3.255,3.157456
3.26,3.189124
3.265,3.178568
3.27,3.143382
3.275,3.185605
3.28,3.175049
3.285,3.157456
3.29,3.178568
3.295,3.185605
3.3,3.175049
3.305,3.182087
3.31,3.171531
3.315,3.157456
3.32,3.185605
3.325,3.157456
3.33,3.182087
3.335,3.196161
3.34,3.160975
3.345,3.182087
3.35,3.182087
3.355,3.168012
3.36,3.157456
3.365,3.171531
3.37,3.168012
3.375,3.157456
3.38,3.178568
3.385,3.182087
3.39,3.160975
3.395,3.164493
3.4,3.189124
3.405,3.168012
3.41,3.168012
3.415,3.189124
3.42,3.182087
3.425,3.185605
3.43,3.150419
3.435,3.192642
3.44,3.175049
3.445,3.171531
3.45,3.160975
3.455,3.185605
3.46,3.192642
3.465,3.153938
3.47,3.185605
3.475,3.192642
3.48,3.153938
3.485,3.178568
3.49,3.185605
3.495,3.168012
3.5,3.168012
3.505,3.178568
3.51,3.153938
3.515,3.157456
3.52,3.189124
3.525,3.185605
3.53,3.160975
3.535,3.164493
3.54,3.178568
3.545,3.185605
3.55,3.182087
3.555,3.164493
3.56,3.157456
3.565,3.192642
3.57,3.189124
3.575,3.175049
3.58,3.164493
3.585,3.185605
3.59,3.164493
3.595,3.164493
3.6,3.185605
3.605,3.175049
3.61,3.164493
3.615,3.192642
3.62,3.175049
3.625,3.143382
3.63,3.171531
3.635,3.153938
3.64,3.178568
3.645,3.185605
3.65,3.171531
3.655,3.171531
3.66,3.19968
3.665,3.153938
3.67,3.182087
3.675,3.178568
3.68,3.164493
3.685,3.19968
3.69,3.206717
3.695,3.157456
3.7,3.182087
3.705,3.182087
3.71,3.185605
3.715,3.178568
3.72,3.175049
3.725,3.171531
3.73,3.168012
3.735,3.160975
3.74,3.185605
3.745,3.19968
3.75,3.153938
3.755,3.192642
3.76,3.192642
3.765,3.157456
3.77,3.175049
3.775,3.175049
3.78,3.153938
3.785,3.192642
3.79,3.168012
3.795,3.168012
3.8,3.182087
3.805,3.168012
3.81,3.182087
3.815,3.189124
3.82,3.175049
3.825,3.213755
3.83,3.157456
3.835,3.168012
3.84,3.175049
3.845,3.160975
3.85,3.189124
3.855,3.1469
3.86,3.160975
3.865,3.182087
3.87,3.143382
3.875,3.175049
3.88,3.185605
3.885,3.182087
3.89,3.164493
3.895,3.182087
3.9,3.189124
3.905,3.164493
3.91,3.164493
3.915,3.178568
3.92,3.168012
3.925,3.153938
3.93,3.189124
3.935,3.178568
3.94,3.164493
3.945,3.178568
3.95,3.192642
3.955,3.182087
3.96,3.164493
3.965,3.206717
3.97,3.182087
3.975,3.150419
3.98,3.171531
3.985,3.185605
3.99,3.175049
3.995,3.185605
4,3.192642
4.005,3.171531
4.01,3.168012
4.015,3.168012
4.02,3.171531
4.025,3.189124
4.03,3.157456
4.035,3.178568
4.04,3.175049
4.045,3.175049
4.05,3.189124
4.055,3.175049
4.06,3.192642
4.065,3.153938
4.07,3.178568
4.075,3.171531
4.08,3.164493
4.085,3.182087
4.09,3.189124
4.095,3.150419
4.1,3.182087
4.105,3.168012
4.11,3.164493
4.115,3.19968
4.12,3.160975
4.125,3.171531
4.13,3.175049
4.135,3.164493
4.14,3.19968
4.145,3.168012
4.15,3.160975
4.155,3.189124
4.16,3.1469
4.165,3.171531
4.17,3.189124
4.175,3.160975
4.18,3.189124
4.185,3.192642
4.19,3.160975
4.195,3.175049
4.2,3.182087
4.205,3.175049
4.21,3.178568
4.215,3.185605
4.22,3.143382
4.225,3.175049
4.23,3.171531
4.235,3.160975
4.24,3.182087
4.245,3.189124
4.25,3.168012
4.255,3.153938
4.26,3.178568
4.265,3.189124
4.27,3.168012
4.275,3.160975
4.28,3.175049
4.285,3.178568
4.29,3.192642
4.295,3.178568
4.3,3.168012
4.305,3.185605
4.31,3.19968
4.315,3.189124
4.32,3.150419
4.325,3.171531
4.33,3.192642
4.335,3.164493
4.34,3.1469
4.345,3.192642
4.35,3.175049
4.355,3.1469
4.36,3.164493
4.365,3.189124
4.37,3.175049
4.375,3.157456
4.38,3.189124
4.385,3.189124
4.39,3.164493
4.395,3.175049
4.4,3.192642
4.405,3.150419
4.41,3.160975
4.415,3.171531
4.42,3.178568
4.425,3.164493
4.43,3.175049
4.435,3.164493
4.44,3.182087
4.445,3.171531
4.45,3.160975
4.455,3.168012
4.46,3.182087
4.465,3.206717
4.47,3.182087
4.475,3.143382
4.48,3.157456
4.485,3.178568
4.49,3.192642
4.495,3.192642
4.5,3.178568
4.505,3.143382
4.51,3.168012
4.515,3.189124
4.52,3.189124
4.525,3.192642
4.53,3.164493
4.535,3.160975
4.54,3.189124
4.545,3.189124
4.55,3.185605
4.555,3.189124
4.56,3.196161
4.565,3.182087
4.57,3.168012
4.575,3.175049
4.58,3.153938
4.585,3.168012
4.59,3.203198
4.595,3.185605
4.6,3.175049
4.605,3.168012
4.61,3.168012
4.615,3.168012
4.62,3.178568
4.625,3.196161
4.63,3.160975
4.635,3.150419
4.64,3.189124
4.645,3.189124
4.65,3.168012
4.655,3.157456
4.66,3.182087
4.665,3.196161
4.67,3.171531
4.675,3.143382
4.68,3.164493
4.685,3.182087
4.69,3.168012
4.695,3.164493
4.7,3.189124
4.705,3.171531
4.71,3.143382
4.715,3.319313
4.72,3.407279
4.725,3.565618
